3	1	5	7	
4	1	2	7	8
4	2	3	8	9
4	3	4	9	10
3	4	10	12	
4	5	6	13	14
4	6	7	14	15
4	7	8	15	16
4	8	9	16	17
4	9	10	17	18
4	10	11	18	19
4	11	12	19	20
4	13	14	21	22
4	14	15	22	23
4	15	16	23	24
4	16	17	24	25
4	17	18	25	26
4	18	19	26	27
4	19	20	27	28
4	21	22	29	30
4	22	23	30	31
4	23	24	31	32
4	24	25	32	33
4	25	26	33	34
4	26	27	34	35
4	27	28	35	36
4	29	30	37	38
4	30	31	38	39
4	31	32	39	40
4	32	33	40	41
4	33	34	41	42
4	34	35	42	43
4	35	36	43	44
4	37	38	45	46
4	38	39	46	47
4	39	40	47	48
4	40	41	48	49
4	41	42	49	50
4	42	43	50	51
4	43	44	51	52
4	45	46	53	54
4	46	47	54	55
4	47	48	55	56
4	48	49	56	57
4	49	50	57	58
4	50	51	58	59
4	51	52	59	60
4	53	54	61	62
4	54	55	62	63
4	55	56	63	64
4	56	57	64	65
4	57	58	65	66
4	58	59	66	67
4	59	60	67	68
4	61	62	69	70
4	62	63	70	71
4	63	64	71	72
4	64	65	72	73
4	65	66	73	74
4	66	67	74	75
4	67	68	75	76
4	69	70	77	78
4	70	71	78	79
4	71	72	79	80
4	72	73	80	81
4	73	74	81	82
4	74	75	82	83
4	75	76	83	84
4	77	78	85	86
4	78	79	86	87
4	79	80	87	88
4	80	81	88	89
4	81	82	89	90
4	82	83	90	91
4	83	84	91	92
4	85	86	93	94
4	86	87	94	95
4	87	88	95	96
4	88	89	96	97
4	89	90	97	98
4	90	91	98	99
4	91	92	99	100
4	93	94	101	102
4	94	95	102	104
4	95	96	104	106
4	96	97	106	108
4	97	98	108	110
4	98	99	110	112
4	99	100	112	113
4	101	103	114	115
4	103	105	115	116
4	105	107	116	117
4	107	109	117	118
4	109	111	118	119
4	111	113	119	120
3	114	116	121	
4	116	117	121	122
4	117	118	122	123
3	118	120	123
